threshold,hacked_cells,evaluable,prevented,mitigation_rate
51.0,90,86,35,0.4069767441860465
51.5,62,62,36,0.5806451612903226
52.0,62,62,36,0.5806451612903226
52.5,44,44,32,0.7272727272727273
53.0,44,44,32,0.7272727272727273
53.5,27,27,20,0.7407407407407407
54.0,25,25,18,0.72
54.5,20,20,17,0.85
55.0,19,19,16,0.8421052631578947
55.5,13,13,12,0.9230769230769231
56.0,13,13,12,0.9230769230769231
56.5,9,9,9,1.0
57.0,7,7,7,1.0
57.5,6,6,6,1.0
58.0,5,5,5,1.0
58.5,2,2,2,1.0
59.0,2,2,2,1.0
59.5,1,1,1,1.0
60.0,1,1,1,1.0
