Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,56.04,53.49,58.05,58.64,53.21,55.50,54.03,52.81,54.81,54.37,55.16
Grok 4 Fast,xAI,09/19/25,58.93,58.14,59.81,59.71,56.78,54.47,56.92,,55.25,54.47,
Claude Sonnet 4.5,Anthropic,09/29/25,51.04,55.94,56.82,51.14,53.30,50.70,51.04,55.50,53.84,55.06,53.49
GPT 5.1 Chat,OpenAI,11/13/25,55.69,53.73,50.36,55.60,56.29,60.50,52.02,57.03,55.94,52.81,52.81
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,55.35,56.42,57.36,56.92,53.99,56.57,57.26,,57.26,55.69,
Claude Opus 4.5,Anthropic,11/24/25,55.60,53.05,59.62,51.83,53.74,54.37,58.05,55.60,55.94,55.16,55.16
GPT 5.2 Chat,OpenAI,12/10/25,59.83,58.54,59.71,61.59,53.74,57.14,57.76,60.89,60.50,59.27,53.25
Gemini 3 Flash Preview,Google,12/17/25,53.15,55.16,60.84,57.95,62.22,56.04,53.93,56.73,58.83,58.83,59.18
Claude Opus 4.6,Anthropic,02/04/26,60.50,57.95,58.05,60.94,60.40,56.13,60.50,59.27,56.04,57.26,54.81
Claude Sonnet 4.6,Anthropic,02/17/26,56.82,46.59,59.62,57.61,56.34,55.94,60.06,58.49,57.17,55.94,55.94
Gemini 3.1 Pro Preview,Google,02/19/26,63.33,57.42,60.41,63.83,61.18,59.18,65.23,62.78,,,
GPT 5.3 Chat,OpenAI,03/03/26,58.49,60.94,56.92,57.70,,60.50,60.50,58.49,57.26,58.49,62.16
GPT 5.4,OpenAI,03/05/26,61.09,55.85,58.05,56.73,54.97,56.73,59.86,59.52,60.30,58.74,60.74
Grok 4.20,xAI,03/31/26,54.81,48.12,63.10,50.60,57.82,51.14,55.94,61.57,54.18,55.75,47.25
Claude Opus 4.7,Anthropic,04/16/26,59.27,54.28,56.38,58.49,59.33,56.26,59.27,58.49,58.05,56.82,58.83
GPT 5.5,OpenAI,04/24/26,62.96,,60.97,61.38,56.65,,63.08,,,61.96,65.42
Grok 4.3,xAI,04/30/26,57.26,53.05,59.27,55.41,51.20,60.06,61.38,,52.38,56.04,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,55.25,53.49,57.26,58.05,43.18,54.37,58.05,56.82,57.61,58.05,56.04
