id,output
1,Day 1
2,"ANSWER:
Day 1"
3,Day 2
4,Day 1
5,Day 1
6,Day 2
7,Day 2
8,Day 2
10,Day 2
11,Day 2
12,Day 1
13,Day 1
15,Day 1
16,Day 1
17,Day 1
18,Day 2
19,Day 1
20,Day 2
21,Day 1
22,Day 2
23,Day 1
24,Day 1
25,Day 1
26,Day 1
29,Day 2
30,Day 2
31,Day 1
32,Day 2
33,Day 1
34,Day 2
35,"ANSWER:
Day 2"
36,"ANSWER:
Day 2"
37,Day 2
38,Day 2
40,Day 1
41,Day 1
42,Day 2
43,Day 1
44,"ANSWER:
Day 1"
45,Day 1
46,Day 2
47,"ANSWER:
Day 2"
48,Day 2
49,"ANSWER:
Day 1"
50,Day 2
51,"ANSWER:
Day 2"
52,Day 2
53,Day 2
54,Day 2
56,Day 1
57,Day 2
59,"ANSWER:
Day 2"
60,"ANSWER:
Day 2"
62,Day 2
63,Day 1
64,"ANSWER:
Day 2"
65,Day 2
66,Day 2
67,Day 2
68,"ANSWER:
Day 2"
70,Day 2
71,Day 2
72,"ANSWER:
Day 1"
73,Day 1
74,Day 1
75,Day 1
76,Day 1
77,Day 2
78,Day 2
79,"ANSWER:
Day 2"
81,"ANSWER:
Day 2"
82,Day 1
84,Day 1
85,Day 1
86,Day 1
88,"ANSWER:
Day 1"
89,Day 2
90,Day 2
91,Day 1
92,Day 2
93,Day 1
94,Day 1
95,Day 1
98,Day 2
99,Day 1
100,Day 2
101,Day 1
102,Day 2
103,Day 2
104,Day 1
105,"ANSWER:
Day 1"
106,Day 1
107,Day 2
108,Day 2
109,"ANSWER:
Day 1"
110,"ANSWER:
Day 2"
111,Day 1
112,Day 2
113,Day 2
114,Day 1
