id,output
1,Day 2
2,Day 2
3,Day 2
4,Day 1
5,Day 2
6,Day 1
7,Day 1
8,Day 2
10,Day 2
11,Day 2
12,Day 1
13,Day 1
15,Day 2
16,Day 1
17,Day 2
18,Day 2
19,Day 1
20,Day 2
21,Day 1
22,Day 2
23,Day 1
24,Day 2
25,Day 2
26,Day 1
29,Day 2
30,Day 2
31,Day 1
32,Day 2
33,Day 1
34,Day 2
35,Day 2
36,Day 1
37,Day 2
38,Day 2
40,Day 1
41,Day 1
42,Day 2
43,Day 1
44,Day 2
45,Day 1
46,Day 2
47,Day 1
48,Day 1
49,Day 2
50,Day 1
51,Day 1
52,Day 2
53,Day 2
54,Day 1
56,Day 1
57,Day 1
59,Day 1
60,Day 1
62,Day 2
63,Day 1
64,Day 1
65,Day 1
66,Day 1
67,Day 2
68,Day 2
70,Day 2
71,Day 2
72,Day 1
73,Day 1
74,Day 1
75,Day 1
76,Day 2
77,Day 2
78,Day 1
79,Day 1
81,Day 2
82,Day 1
84,Day 1
85,Day 1
86,Day 1
88,Day 2
89,Day 2
90,Day 1
91,Day 1
92,Day 1
93,Day 1
94,Day 1
95,Day 2
98,Day 2
99,Day 1
100,Day 1
101,Day 1
102,Day 1
103,Day 2
104,Day 1
105,Day 2
106,Day 1
107,Day 2
108,Day 2
109,Day 2
110,Day 2
111,Day 2
112,Day 1
113,Day 2
114,Day 2
