id,output
1,
2,Day 2
3,Day 2
4,
5,
6,Day 1
7,
8,Day 2
10,
11,
12,Day 1
13,
15,Day 1
16,
17,
18,
19,Day 1
20,
21,
22,
23,
24,
25,
26,
29,
30,Day 2
31,
32,
33,
34,
35,Day 2
36,
37,
38,Day 2
40,
41,
42,
43,Day 1
44,
45,
46,
47,
48,Day 1
49,
50,
51,
52,
53,Day 2
54,
56,Day 1
57,
59,
60,
62,
63,
64,
65,
66,Day 1
67,Day 2
68,
70,
71,
72,
73,
74,
75,
76,
77,Day 2
78,
79,
81,Day 1
82,Day 1
84,
85,Day 1
86,Day 2
88,
89,
90,
91,Day 1
92,Day 2
93,
94,
95,
98,
99,
100,
101,
102,Day 1
103,
104,
105,
106,Day 1
107,
108,
109,
110,
111,
112,
113,
114,Day 2
